Reaction,Screen_Type,Function,Fold_Change,Gene_ID,GPR_Type,Pathway
"R01015[K,c]",OE,Glycolysis,1.096x,GRMZM2G146206,isozymes,Calvin-Benson-Bassham cycle
"R01015[K,c]",OE,Glycolysis,1.096x,GRMZM2G305211,isozymes,Calvin-Benson-Bassham cycle
"R01015[K,c]",OE,Glycolysis,1.096x,GRMZM2G346168,isozymes,Calvin-Benson-Bassham cycle
"R01015[K,c]",OE,Glycolysis,1.096x,GRMZM2G370275,isozymes,Calvin-Benson-Bassham cycle
"R01015[K,c]",OE,Glycolysis,1.096x,GRMZM2G419024,isozymes,Calvin-Benson-Bassham cycle
"R01015[K,c]",OE,Glycolysis,1.096x,GRMZM2G435244,isozymes,Calvin-Benson-Bassham cycle
"R01015[K,c]",OE,Glycolysis,1.096x,GRMZM2G439389,isozymes,Calvin-Benson-Bassham cycle
"R01015[K,c]",OE,Glycolysis,1.096x,GRMZM5G852968,isozymes,Calvin-Benson-Bassham cycle
"R00667[K,m]",OE,TCA cycle (mitochondrial),1.096x,GRMZM2G080828,isozymes,Arginine and proline metabolism
"R00667[K,m]",OE,TCA cycle (mitochondrial),1.096x,GRMZM2G119583,isozymes,Arginine and proline metabolism
"MR00422[K,p]",MIM,Lipid metabolism (plastid),1.096x,AC209860.3_FGP004,isozymes,0
"MR00422[K,p]",MIM,Lipid metabolism (plastid),1.096x,GRMZM2G002656,isozymes,0
"MR00422[K,p]",MIM,Lipid metabolism (plastid),1.096x,GRMZM2G006620,isozymes,0
"MR00422[K,p]",MIM,Lipid metabolism (plastid),1.096x,GRMZM2G014813,isozymes,0
"MR00422[K,p]",MIM,Lipid metabolism (plastid),1.096x,GRMZM2G068665,isozymes,0
"MR00422[K,p]",MIM,Lipid metabolism (plastid),1.096x,GRMZM2G074454,isozymes,0
"MR00422[K,p]",MIM,Lipid metabolism (plastid),1.096x,GRMZM2G127798,isozymes,0
"MR00422[K,p]",MIM,Lipid metabolism (plastid),1.096x,GRMZM2G145715,isozymes,0
"MR00422[K,p]",MIM,Lipid metabolism (plastid),1.096x,GRMZM2G153984,isozymes,0
"MR00422[K,p]",MIM,Lipid metabolism (plastid),1.096x,GRMZM2G398473,isozymes,0
"MR00422[K,p]",MIM,Lipid metabolism (plastid),1.096x,GRMZM2G413647,isozymes,0
"MR00422[K,p]",MIM,Lipid metabolism (plastid),1.096x,GRMZM2G431708,isozymes,0
"MR00422[K,p]",MIM,Lipid metabolism (plastid),1.096x,GRMZM2G440208,isozymes,0
"MR00422[K,p]",MIM,Lipid metabolism (plastid),1.096x,GRMZM5G818186,isozymes,0
"MR00422[K,p]",MIM,Lipid metabolism (plastid),1.096x,GRMZM5G848696,isozymes,0
"MR00732[K,m]",MIM,Mitochondrial metabolism,1.096x,AC197672.3_FGP002,isozymes,Biotin metabolism
"MR00732[K,m]",MIM,Mitochondrial metabolism,1.096x,GRMZM2G377341,isozymes,Biotin metabolism
"MR00732[K,m]",MIM,Mitochondrial metabolism,1.096x,GRMZM5G858094,isozymes,Biotin metabolism
"MR00732[K,m]",MIM,Mitochondrial metabolism,1.096x,GRMZM5G890665,isozymes,Biotin metabolism
"R00342[K,p]",MIM,Transketolase (plastid),1.096x,GRMZM2G035767,isozymes,Pyruvate metabolism
"R00342[K,p]",MIM,Transketolase (plastid),1.096x,GRMZM2G068455,isozymes,Pyruvate metabolism
"R00342[K,p]",MIM,Transketolase (plastid),1.096x,GRMZM2G072744,isozymes,Pyruvate metabolism
"R00342[K,p]",MIM,Transketolase (plastid),1.096x,GRMZM2G077415,isozymes,Pyruvate metabolism
"R00342[K,p]",MIM,Transketolase (plastid),1.096x,GRMZM2G101290,isozymes,Pyruvate metabolism
"R00342[K,p]",MIM,Transketolase (plastid),1.096x,GRMZM2G141289,isozymes,Pyruvate metabolism
"R00342[K,p]",MIM,Transketolase (plastid),1.096x,GRMZM2G154595,isozymes,Pyruvate metabolism
"R00342[K,p]",MIM,Transketolase (plastid),1.096x,GRMZM2G161245,isozymes,Pyruvate metabolism
"R00342[K,p]",MIM,Transketolase (plastid),1.096x,GRMZM2G415359,isozymes,Pyruvate metabolism
"R00342[K,p]",MIM,Transketolase (plastid),1.096x,GRMZM2G466833,isozymes,Pyruvate metabolism
"R00342[K,p]",MIM,Transketolase (plastid),1.096x,GRMZM5G811212,isozymes,Pyruvate metabolism
cpTransport_C00712[K],VER,Nicotinamide transport,1.096x,NO_GPR,none,0
"R00451[K,p]",REF,DAP decarboxylase (lysine),N/A,GRMZM2G020446,single_gene,Lysine metabolism
"R02292[K,p]",REF,DHDPS (lysine committed step),N/A,GRMZM2G027835,single_gene,Lysine metabolism
